ratingId,tmdbId,title,genres_str,genre_list,avg_rating,num_ratings
356,13,Forrest Gump,Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",4.02,1460
318,278,The Shawshank Redemption,Drama|Crime,"['Drama', 'Crime']",4.38,1412
296,680,Pulp Fiction,Thriller|Crime,"['Thriller', 'Crime']",4.24,1375
593,274,The Silence of the Lambs,Crime|Drama|Thriller,"['Crime', 'Drama', 'Thriller']",4.13,1341
2571,603,The Matrix,Action|Science Fiction,"['Action', 'Science Fiction']",4.19,1443
260,11,Star Wars,Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']",4.14,1308
480,329,Jurassic Park,Adventure|Science Fiction,"['Adventure', 'Science Fiction']",3.69,1283
527,424,Schindler's List,Drama|History|War,"['Drama', 'History', 'War']",4.22,1103
110,197,Braveheart,Action|Drama|History|War,"['Action', 'Drama', 'History', 'War']",3.94,1158
2959,550,Fight Club,Drama,['Drama'],4.21,1237
589,280,Terminator 2: Judgment Day,Action|Thriller|Science Fiction,"['Action', 'Thriller', 'Science Fiction']",3.96,1186
1196,1891,The Empire Strikes Back,Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']",4.19,1225
1,862,Toy Story,Animation|Comedy|Family,"['Animation', 'Comedy', 'Family']",3.83,1152
4993,120,The Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']",4.11,1245
50,629,The Usual Suspects,Drama|Crime|Thriller,"['Drama', 'Crime', 'Thriller']",4.22,1090
1210,1892,Return of the Jedi,Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']",3.99,1168
1198,85,Raiders of the Lost Ark,Adventure|Action,"['Adventure', 'Action']",4.15,1187
2858,14,American Beauty,Drama,['Drama'],4.06,1169
858,238,The Godfather,Drama|Crime,"['Drama', 'Crime']",4.28,1084
5952,121,The Lord of the Rings: The Two Towers,Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']",4.08,1164
7153,122,The Lord of the Rings: The Return of the King,Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']",4.13,1125
47,807,Se7en,Crime|Mystery|Thriller,"['Crime', 'Mystery', 'Thriller']",4.05,1118
457,5503,The Fugitive,Adventure|Action|Thriller|Crime|Mystery,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",3.88,981
1270,105,Back to the Future,Adventure|Comedy|Science Fiction|Family,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",3.97,1171
780,602,Independence Day,Action|Adventure|Science Fiction,"['Action', 'Adventure', 'Science Fiction']",3.31,1069
150,568,Apollo 13,Drama,['Drama'],3.76,923
2028,857,Saving Private Ryan,Drama|History|War,"['Drama', 'History', 'War']",4.02,1106
2762,745,The Sixth Sense,Mystery|Thriller|Drama,"['Mystery', 'Thriller', 'Drama']",3.95,1140
3578,98,Gladiator,Action|Drama|Adventure,"['Action', 'Drama', 'Adventure']",3.9,1141
592,268,Batman,Fantasy|Action,"['Fantasy', 'Action']",3.53,898
588,812,Aladdin,Animation|Family|Comedy|Adventure|Fantasy|Romance,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",3.66,869
364,8587,The Lion King,Family|Animation|Drama,"['Family', 'Animation', 'Drama']",3.77,952
4306,808,Shrek,Adventure|Animation|Comedy|Family|Fantasy,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",3.67,1076
380,36955,True Lies,Action|Thriller,"['Action', 'Thriller']",3.42,854
590,581,Dances with Wolves,Adventure|Drama|Western,"['Adventure', 'Drama', 'Western']",3.63,755
58559,155,The Dark Knight,Drama|Action|Crime|Thriller,"['Drama', 'Action', 'Crime', 'Thriller']",4.17,878
377,1637,Speed,Action|Adventure|Crime,"['Action', 'Adventure', 'Crime']",3.4,989
4226,77,Memento,Mystery|Thriller,"['Mystery', 'Thriller']",4.11,973
1580,607,Men in Black,Action|Adventure|Comedy|Science Fiction,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",3.53,1088
1704,489,Good Will Hunting,Drama,['Drama'],4.0,975
79132,27205,Inception,Action|Thriller|Science Fiction|Mystery|Adventure,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",4.09,806
1240,218,The Terminator,Action|Thriller|Science Fiction,"['Action', 'Thriller', 'Science Fiction']",3.84,1020
1291,89,Indiana Jones and the Last Crusade,Adventure|Action,"['Adventure', 'Action']",3.96,995
1197,2493,The Princess Bride,Adventure|Family|Fantasy|Comedy|Romance,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",4.03,847
1136,762,Monty Python and the Holy Grail,Adventure|Comedy|Fantasy,"['Adventure', 'Comedy', 'Fantasy']",4.1,942
1721,597,Titanic,Drama|Romance|Thriller,"['Drama', 'Romance', 'Thriller']",3.36,986
1265,137,Groundhog Day,Romance|Fantasy|Drama|Comedy,"['Romance', 'Fantasy', 'Drama', 'Comedy']",3.91,982
344,3049,Ace Ventura: Pet Detective,Comedy|Mystery,"['Comedy', 'Mystery']",2.99,810
6539,22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']",3.73,998
648,954,Mission: Impossible,Adventure|Action|Thriller,"['Adventure', 'Action', 'Thriller']",3.38,864
1036,562,Die Hard,Action|Thriller,"['Action', 'Thriller']",3.93,992
541,78,Blade Runner,Science Fiction|Drama|Thriller,"['Science Fiction', 'Drama', 'Thriller']",4.04,907
1214,348,Alien,Horror|Action|Thriller|Science Fiction,"['Horror', 'Action', 'Thriller', 'Science Fiction']",4.03,988
1193,510,One Flew Over the Cuckoo's Nest,Drama,['Drama'],4.21,864
6377,12,Finding Nemo,Animation|Family,"['Animation', 'Family']",3.8,937
1089,500,Reservoir Dogs,Crime|Thriller,"['Crime', 'Thriller']",4.08,885
367,854,The Mask,Romance|Comedy|Crime|Fantasy,"['Romance', 'Comedy', 'Crime', 'Fantasy']",3.1,832
1097,601,E.T. the Extra-Terrestrial,Science Fiction|Adventure|Family|Fantasy,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']",3.74,920
4886,585,"Monsters, Inc.",Animation|Comedy|Family,"['Animation', 'Comedy', 'Family']",3.78,929
4973,194,Amélie,Comedy|Romance,"['Comedy', 'Romance']",4.03,786
597,114,Pretty Woman,Romance|Comedy,"['Romance', 'Comedy']",3.29,786
500,788,Mrs. Doubtfire,Comedy|Drama|Family,"['Comedy', 'Drama', 'Family']",3.21,777
1221,240,The Godfather: Part II,Drama|Crime,"['Drama', 'Crime']",4.21,800
6874,24,Kill Bill: Vol. 1,Action|Crime,"['Action', 'Crime']",3.79,938
1682,37165,The Truman Show,Comedy|Drama,"['Comedy', 'Drama']",3.8,969
165,1572,Die Hard: With a Vengeance,Action|Thriller,"['Action', 'Thriller']",3.51,748
7361,38,Eternal Sunshine of the Spotless Mind,Science Fiction|Drama|Romance,"['Science Fiction', 'Drama', 'Romance']",3.99,818
1527,18,The Fifth Element,Adventure|Fantasy|Action|Thriller|Science Fiction,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",3.77,954
1213,769,GoodFellas,Drama|Crime,"['Drama', 'Crime']",4.17,828
3793,36657,X-Men,Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']",3.56,944
733,9802,The Rock,Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",3.57,816
231,8467,Dumb and Dumber,Comedy,['Comedy'],2.98,724
2628,1893,Star Wars: Episode I - The Phantom Menace,Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']",3.03,884
4963,161,Ocean's Eleven,Thriller|Crime,"['Thriller', 'Crime']",3.74,908
4995,453,A Beautiful Mind,Drama|Romance,"['Drama', 'Romance']",3.84,876
1200,679,Aliens,Horror|Action|Thriller|Science Fiction,"['Horror', 'Action', 'Thriller', 'Science Fiction']",3.97,875
34,9598,Babe,Fantasy|Drama|Comedy|Family,"['Fantasy', 'Drama', 'Comedy', 'Family']",3.36,685
2329,73,American History X,Drama,['Drama'],4.06,833
153,414,Batman Forever,Action|Crime|Fantasy,"['Action', 'Crime', 'Fantasy']",2.67,679
736,664,Twister,Action|Adventure|Drama,"['Action', 'Adventure', 'Drama']",3.0,719
33794,272,Batman Begins,Action|Crime|Drama,"['Action', 'Crime', 'Drama']",3.89,865
8961,9806,The Incredibles,Action|Adventure|Animation|Family,"['Action', 'Adventure', 'Animation', 'Family']",3.77,836
3147,497,The Green Mile,Fantasy|Drama|Crime,"['Fantasy', 'Drama', 'Crime']",3.98,882
5445,180,Minority Report,Action|Thriller|Science Fiction|Mystery,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",3.64,899
5349,557,Spider-Man,Fantasy|Action,"['Fantasy', 'Action']",3.42,929
